TITLE,LOCATIONS,RELEASE_YEAR
Sudden Impact,"Pier 38-40, The Embarcadero",1983
Superman,Golden Gate Bridge,1978
Susan Slade,"On Board the SS President Cleveland, docked at Pier 50",1961
Swingin' Along,Powell Street,1961
Take the Money and Run,Mission Street,1969
Take the Money and Run,Golden Gate Park,1969
Take the Money and Run,Bank of America (1455 Stockton Street),1969
The Bachelor,Merchant Exchange (465 California Street at Leidesdorff),1999
The Bachelor,Washington Square Park (North Beach),1999
The Bachelor,Sutter-Stockton Garage (330 Sutter Street at Stockton),1999
The Bachelor,Stockton Tunnel (Stockton Street at Sutter Street),1999
The Bachelor,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",1999
The Bachelor,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",1999
The Bachelor,Roof of Cable Car (California at Front Street),1999
The Bachelor,Pacific Stock Exchange (301 Pine Street at Sansome),1999
The Bachelor,Nina M. Designs (52 2nd Street at Jessie),1999
The Bachelor,Moose's Restaurant (1652 Stockton),1999
The Bachelor,Mama's Restaurant (1701 Stockton),1999
The Bachelor,Danilo's Bakery (Green Street & Bannam Place),1999
The Bachelor,Columbus Avenue at Green & Stockton,1999
The Birds,Powell and Geary Streets (Union Square),1963
The Caine Mutiny,The Embarcadero,1954
The Caine Mutiny,Golden Gate Bridge,1954
The Candidate,"Westin St. Francis Hotel (335 Powell Street, Union Square)",1972
The Competition,Pier 39,1980
The Competition,California Academy of Sciences (Golden Gate Park),1980
The Conversation,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)",1974
The Conversation,Alta Plaza Park (Steiner Street),1974
The Conversation,Alcoa Building (1 Maritime Plaza),1974
The Conversation,Alamo Square (Hayes Valley),1974
The Conversation,"Westin St. Francis Hotel (335 Powell Street, Union Square)",1974
The Conversation,Union Square,1974
The Conversation,"Saks Fifth Avenue (384 Post Street, Union Square)",1974
The Conversation,One Embarcadero Center (Financial District),1974
The Conversation,"Neiman Marcus (150 Stockton Street, Union Square)",1974
The Conversation,Financial District,1974
The Conversation,"Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center)",1974
The Dead Pool,San Francisco Drydock (The Dogpatch),1988
The Dead Pool,Washington Square Park (North Beach),1988
The Dead Pool,One Thousand Powell Apartments (1000 Powell Street),1988
The Dead Pool,"The Cannery (281 Leavenworth Street, Fisherman's Wharf)",1988
The Dead Pool,Portsmouth Square (Chinatown),1988
The Dead Pool,Pierce St. & Golden Gate Avenue (Hayes Valley),1988
The Dead Pool,Pierce & California Streets (Pacific Heights),1988
The Dead Pool,Pier 3 (The Embarcadero),1988
The Dead Pool,New Asia Restaurant (772 Pacific Avenue at Grant),1988
The Dead Pool,"Nam Yuen Restaurant (740 Washington Street, Chinatown)",1988
The Dead Pool,"Mirant Energy, LLC (1301 Illinois Street, The Dogpatch)",1988
The Dead Pool,McAllister & Scott Streets (Hayes Valley),1988
The Dead Pool,"KGO-TV ABC7 TV Studios (900 Front Street, Waterfront Historic District",1988
The Dead Pool,Hall of Justice (850 Bryant Street),1988
The Dead Pool,"San Francisco National Military Cemetery (Lincoln Blvd., The Presidio,",1988
The Dead Pool,"Silver Restaurant (737 Washington Street, Chinatown)",1988
The Dead Pool,Fremont Street Exit of Bay Bridge,1988
The Dead Pool,Folsom & Essex Streets,1988
The Dead Pool,"Eber Electronics (2355 Market Street, Castro)",1988
The Dead Pool,Clementina & Sumner Streets,1988
The Dead Pool,Carl & Cole Streets (Cole Valley),1988
The Dead Pool,710 Steiner Street (Hayes Valley),1988
The Dead Pool,550 El Camino Del Mar (Seacliff),1988
The Dead Pool,23rd & Iowa Streets (Dogpatch),1988
The Dead Pool,22nd Bet. Carolina & Rhode Island Streets (Potrero Hill),1988
The Dead Pool,22nd & Wisconsin Streets (Potrero Hill),1988
The Dead Pool,20th & De Haro Streets (Potrero Hill),1988
The Dead Pool,1954 Mason Street (North Beach),1988
The Dead Pool,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Po",1988
The Doctor,,1991
The Doors,,1991
The Enforcer,Sutter & Webster Streets,1976
The Enforcer,Hall of Justice,1976
The Enforcer,Coit Tower,1976
The Enforcer,City Hall,1976
The Enforcer,Balmy Street (Mission District),1976
The Enforcer,Alcatraz Island,1976
The Enforcer,24th Street Mini Park (Mission District),1976
The Enforcer,23rd & Capp Streets (Mission District),1976
The Enforcer,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)",1976
The Fan,Candlestick Park (602 Jamestown Ave.),1996
The Game,Merchant Exchange Building (465 California Street),1997
The Game,Washington Street & Waverly Place (Chinatown),1997
The Game,"Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, C",1997
The Game,Sheraton Palace Hotel (639 Market Street),1997
The Game,Ritz-Carlton Hotel (600 Stockton Street),1997
The Game,Presidio (Golden Gate National Recreation Area),1997
The Game,Merchant Exchange Building,1997
The Game,Mason & California Streets (Nob Hill),1997
The Game,Harrison Street (The Embarcadero),1997
The Game,City Club (155 Sansome Street),1997
The Game,Bay Bridge,1997
The Game,Bank of America Building (555 California Street),1997
The Game,301 Howard Street,1997
The Game,1 Bush Street,1997
The Graduate,San Francisco Zoo (2701 Sloat Blvd.),1967
The Graduate,Bay Bridge,1967
The House on Telegraph Hill,Telegraph Hill,1951
The House on Telegraph Hill,Market Street,1951
The House on Telegraph Hill,Coit Tower,1951
The House on Telegraph Hill,1227 Montgomery Street,1951
The Jazz Singer,Coffee Dan's (O'Farrell Street at Powell),1927
The Lady from Shanghai,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",1947
The Lady from Shanghai,Mandarin Theatre (1021 Grant Avenue),1947
The Lady from Shanghai,Golden Gate Park,1947
The Lady from Shanghai,Former Hall of Justice (750 Kearny Street at Washington),1947
The Last of the Gladiators,,1988
The Laughing Policeman,,1973
The Lineup,War Memorial Opera House (401 Van Ness Avenue),1958
The Lineup,The Embarcadero,1958
The Lineup,Sutro Baths (Point Lobos Avenue),1958
The Lineup,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",1958
The Lineup,Pier 41,1958
The Lineup,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",1958
The Lineup,2090 Jackson Street,1958
The Love Bug,Golden Gate Bridge,1968
The Love Bug,100 Block of Lombard Street,1968
The Maltese Falcon,Golden Gate Bridge,1941
The Maltese Falcon,Ferry Building,1941
The Maltese Falcon,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)",1941
The Matrix,skyline/ exterior scenes,1999
The Net,Moscone Convention Center,1995
The Net,Montgomery & Market Streets,1995
The Nightmare Before Christmas,,1993
The Organization,,1971
The Other Sister,Transbay Terminal (Mission Street at 1st Street),1999
The Other Sister,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",1999
The Other Sister,Palace of Fine Arts (3301 Lyon Street),1999
The Parent Trap,Administration Building (Treasure Island),1998
The Presidio,Washington Street & Waverly Place (Chinatown),1988
The Presidio,Sansome Street (The Embarcadero),1988
The Presidio,Presidio (Golden Gate National Recreation Area),1988
The Presidio,Montgomery & Vallejo Streets (Telegraph Hill),1988
The Presidio,Market & 2nd Streets,1988
The Presidio,Hayes & Polk Streets (Civic Center),1988
The Presidio,Golden Gate Bridge,1988
The Presidio,"Fort Point (Presidio, Golden Gate National Recreation Area)",1988
The Presidio,Ferry Building,1988
The Presidio,Coit Tower,1988
The Presidio,Civic Center Plaza,1988
The Presidio,Battery Street (The Embarcadero),1988
The Presidio,900 Block of Grant Avenue (Chinatown),1988
The Presidio,700 Block of Jackson Street (Chinatown),1988
The Presidio,200 Block of Sansome Street (Financial District),1988
The Right Stuff,"American Can Company (Between Illinois & Kentucky, 20th and 22nd Stree",1983
The Right Stuff,Cow Palace,1983
The Right Stuff,City Hall,1983
The Right Stuff,Financial District,1983
The Rock,Palace of Fine Arts (3301 Lyon Street),1996
The Rock,The San Francisco Bay,1996
The Rock,New Russian Hill Market (1198 Pacific Avenue at Jones),1996
The Rock,"Fairmont Hotel (950 Mason Street, Nob Hill)",1996
The Rock,Coit Tower,1996
The Rock,City Hall,1996
The Rock,Alcatraz Island,1996
The Ten Commandments,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",1956
The Times of Harvey Milk,The Castro,1984
The Towering Inferno,"Bank of America Building (555 California Street, Financial District)",1974
The Towering Inferno,"San Francisco Fire Station 38 (2150 California Street, Pacific Heights",1974
The Towering Inferno,"Hyatt Regency Hotel (5 Embarcadero Center, Financial District)",1974
The Towering Inferno,Grace Cathedral Episcopal Church (1100 California Street),1974
The Towering Inferno,Firestation #38 (California & Laguna),1974
The Towering Inferno,"Fairmont Hotel (950 Mason Street, Nob Hill)",1974
The Towering Inferno,2898 Vallejo Street,1974
The Woman In Red,"Postcard Row (Alamo Square, Hayes Valley)",1984
The Woman In Red,Brocklebank Apartments (1000 Mason Street),1984
The Woman In Red,Palace of Fine Arts (3301 Lyon Street),1984
The Woman In Red,Montgomery Street at Union Street,1984
They Call Me MISTER Tibbs,,1970
Thief of Hearts,,1984
Time After Time,Lombard & Laguna Streets (Marina District),1979
Time After Time,Lombard & Fillmore Streets (Marina District),1979
Time After Time,Lombard & Divisadero Streets (Marina District),1979
Time After Time,Lombard & Broderick Streets (Marina District),1979
Time After Time,Justin Herman Plaza,1979
Time After Time,Intersection of Fulton & 6th Streets (Chinatown),1979
Time After Time,Intersection of California & Grant Streets (Richmond District),1979
Time After Time,Hyatt Regency Hotel (5 Embarcadero Center),1979
Time After Time,"Huntington Park (California & Taylor Streets, Nob Hill)",1979
Time After Time,Golden Gate Park,1979
Time After Time,Golden Gate Bridge,1979
Time After Time,"Ghirardelli Square (900 North Point Street, Fisherman's Wharf)",1979
Time After Time,Chestnut & Divisadero Streets (Marina District),1979
Time After Time,California Academy of Sciences (Golden Gate Park),1979
Time After Time,Broadway at Osgood Street (North Beach),1979
Time After Time,2340 Francisco Street,1979
Time After Time,100 Block of Union Street (Cow Hollow),1979
Time After Time,Old St. Mary's Church (660 California Street at Grant),1979
Time After Time,United Nations Plaza (Civic Center),1979
Time After Time,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)",1979
Time After Time,Palace of Fine Arts (3301 Lyon Street),1979
Time After Time,One Embarcadero Center (Financial District),1979
Time After Time,Merchant Exchange (465 California Street at Leidesdorff),1979
Time After Time,Marina Green (Marina District),1979
Tin Cup,,1996
To the Ends of the Earth,,1948
True Believer,,1989
Tucker: The Man and His Dream,City Hall,1988
Until the End of the World,"Tosca Café (242 Columbus Avenue, North Beach)",1991
Vegas in Space,Project Artaud (Florida Street),1992
Vegas in Space,Corona Heights Park,1992
Vegas in Space,544 Natoma (SOMA),1992
Vegas in Space,422 Oak Street at Laguna,1992
Vegas in Space,3567 18th Street,1992
Vegas in Space,Under Highway 101 (near Potrero and Cesar Chavez Streets),1992
Vertigo,Palace of Fine Arts (3301 Lyon Street),1958
Vertigo,York Hotel (940 Sutter Street),1958
Vertigo,San Francisco Drydock (20th and Illinois Streets),1958
Vertigo,Park Hill Sanatorium (351 Buena Vista Avenue East),1958
Vertigo,Mission San Juan Bautista (2nd & Mariposa Streets),1958
Vertigo,"Mission Dolores (3321 16th Street, Mission District)",1958
Vertigo,Gough & Eddy Streets (Western Addition),1958
Vertigo,"Fort Point (Presidio, Golden Gate National Recreation Area)",1958
Vertigo,"Fairmont Hotel (950 Mason Street, Nob Hill)",1958
Vertigo,Ernie's Restaurant (847 Montgomery Street),1958
Vertigo,Conservatory of Flowers (Golden Gate Park),1958
Vertigo,Claude Lane at Bush Street,1958
Vertigo,"California Palace of the Legion of Honor (34th Avenue & Clement, Linco",1958
Vertigo,Brocklebank Apartments (1000 Mason Street),1958
Vertigo,900 Lombard Street,1958
Vertigo,1007 Gough Street,1958
What Dreams May Come,Treasure Island,1998
What's Up Doc?,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)",1972
What's Up Doc?,San Francisco Hilton (333 O'Farrell Street),1972
What's Up Doc?,Lombard Street between Hyde and Leavenworth,1972
What's Up Doc?,Hyde Street Pier,1972
What's Up Doc?,Chinatown,1972
What's Up Doc?,Alta Plaza Park (Steiner Street),1972
What's Up Doc?,22nd Avenue & Balboa Street (Richmond District),1972
When a Man Loves a Woman,Buena Vista Café (2765 Hyde Street),1994
When a Man Loves a Woman,"Victor's Restaurant, The Westin St. Francis Hotel (335 Powell Street)",1994
When a Man Loves a Woman,Spring Valley School (1451 Jackson Street),1994
When a Man Loves a Woman,"International Studies Academy (993 Vermont Street, Potrero Hill)",1994
When a Man Loves a Woman,Grant Street at Pacific Avenue,1994
When a Man Loves a Woman,Cybelle's Pizza (1000 Bush Street),1994
When a Man Loves a Woman,766 Vallejo Street at Stockton Street (North Beach),1994
When a Man Loves a Woman,1521 Masonic Avenue at Piedmont Street,1994
Woman on the Run,Former Hall of Justice (750 Kearny Street at Washington),1950
Woman on the Run,835-865 Market Street at 5th Street,1950
Woman on the Run,819 Mason Street at Pine,1950
Woman on the Run,772 Commercial Street at Kearney,1950
Woman on the Run,1801 Laguna at Bush,1950
Woman on the Run,Cable Car Signal Box (California Street at Powell Street),1950
Woman on Top,312 Fillmore Street,2000
"Yours, Mine and Ours",,1968
