TITLE
180
24 Hours on Craigslist
40 Days and 40 Nights
48 Hours
50 First Dates
A Jitney Elopement
A Night Full of Rain
A Smile Like Yours
A Taiwanese Tale of Two Cities
A View to a Kill
About a Boy
After the Thin Man
Age of Adaline
Alcatraz
Alexander's Ragtime Band
Alive
All About Eve
Always Be My Maybe
American Graffiti
American Yearbook
Americana
Another 48 Hours
Ant-Man
Ant-Man and the Wasp
Around the Fire
Attack of the Killer Tomatoes
Babies
Ballers Season 3
Barbary Coast
Basic Instinct
Beaches
Beautiful Boy
Bedazzled
Bee Season
Bicentennial Man
Big Eyes
Big Sur
Big Trouble in Little China
Birdman of Alcatraz
Birth of the Dragon
Bitter Melon
Blue Jasmine
Boys and Girls
Broken-A Modern Love Story
"Budding Prospects, Pilot"
Bullitt
Burglar
By Hook or By Crook
CSI: NY- episode 903
Can't Stop the Music
