TITLE
180
24 Hours on Craigslist
40 Days and 40 Nights
48 Hours
50 First Dates
A Jitney Elopement
A Night Full of Rain
A Smile Like Yours
A Taiwanese Tale of Two Cities
A View to a Kill
About a Boy
After the Thin Man
Age of Adaline
Alcatraz
Alexander's Ragtime Band
Alive
All About Eve
Always Be My Maybe
American Graffiti
American Yearbook
Americana
Another 48 Hours
Ant-Man
Ant-Man and the Wasp
Around the Fire
Attack of the Killer Tomatoes
Babies
Ballers Season 3
Barbary Coast
Basic Instinct
Beaches
Beautiful Boy
Bedazzled
Bee Season
Bicentennial Man
Big Eyes
Big Sur
Big Trouble in Little China
Birdman of Alcatraz
Birth of the Dragon
Bitter Melon
Blue Jasmine
Boys and Girls
Broken-A Modern Love Story
"Budding Prospects, Pilot"
Bullitt
Burglar
By Hook or By Crook
CSI: NY- episode 903
Can't Stop the Music
Cardinal X
Casualties of War
Chan is Missing
Chance - Season 1 Pilot
Chance - Season 1 ep105
Chance - Season 1ep105
Chance Season 2
Chance- Season 1 ep102
Chance- Season 1 ep103
Chance- Season 1 ep104
Chance- Season 1 ep106
Chance- Season 1 ep107
Chance- Season 1 ep108
Chance- Season 1 ep109
Chance- Season 1 ep110
Cherish
Chu Chu and the Philly Flash
City of Angels
Class Action
Clickbait
Common Threads: Stories From t
Confessions of a Burning Man
Copycat
Crackers
D.O.A
DEVS
Dark Passage
Dawn of the Planet of the Apes
Days of Wine and Roses
Desperate Measures
Dim Sum: A Little Bit of Heart
Dirty Harry
Doctor Dolittle
Dopamine
Down Periscope
Dr. Dolittle 2
Dream for an Insomniac
Dream with the Fishes
Dying Young
Edtv
Escape From Alcatraz
Etruscan Smile
Experiment in Terror
Faces of Death
Family Plot
Fandom
Fat Man and Little Boy
Fathers' Day
Fearless
Final Analysis
Flower Drum Song
Flubber
Forrest Gump
Foul Play
Freebie and the Bean
Gentleman Jim
George of the Jungle
Getting Even with Dad
GirlBoss
God is a Communist?* (show me 
Godzilla
Golden Gate
Goliath- Season 4
Good NeighborSam
Greed
Groove
Guess Who's Coming to Dinner
Haiku Tunnel
Happy Gilmore
Hard to Hold
Harold and Maude
Heart Beat
Heart and Souls
"Hello Frisco, Hello"
Hemingway & Gelhorn
Herbie Rides Again
Hereafter
High Anxiety
High Crimes
Homeward Bound II: Lost in San
House of Sand and Fog
How Stella Got Her Groove Back
Hulk
I Am Michael
I Remember Mama
I's
Indiana Jones and the Last Cru
Innerspace
Interview With The Vampire
Invasion of the Body Snatchers
It Came From Beneath the Sea
Jack
Jade
Jagged Edge
James and the Giant Peach
Joy Luck Club
Julie and Jack
Junior
Just Like Heaven
Just One Night
Kamikaze Hearts
Knife Fight
Live Nude Girls Unite
Looking
"Looking ""Special"""
Looking Season 2 ep 202
Looking Season 2 ep 203
Looking Season 2 ep 204
Looking Season 2 ep 205
Looking Season 2 ep 206
Looking Season 2 ep 207
Looking Season 2 ep 208
Looking Season 2 ep 209
Looking Season 2 ep 210
Love & Taxes
Magnum Force
Marnie
Maxie
Memoirs of an Invisible Man
Metro
Midnight Lace
Milk
Mission (aka City of Bars)
Mona Lisa Smile
Mother
Mrs. Doubtfire
"Murder in the First, Season 1"
"Murder in the First, Season 2"
"Murder in the First, Season 3"
Need For Speed
Never Die Twice
Night of Henna
Nina Takes a Lover
Nine Months
Nine to Five
Nora Prentiss
On the Beach
On the Road
Pacific Heights
Pal Joey
Panther
Parks and Recreation
Patch Adams
Patty Hearst
Petulia
Phenomenon
"Play it Again, Sam"
Playing Mona Lisa
Pleasure of His Company
Point Blank
Pretty Woman
Psych-Out
Pushing Dead
Quicksilver
Quitters
Raising Cain
Red Diaper Baby
Red Widow
Rent
Rollerball
Romeo Must Die
San Andreas
San Francisco
Sausalito
Sense8
Sense8 - Season 2
Serendipity
Serial
Seven Girlfriends
Shadow of the Thin Man
Shang-Chi and the Legend of th
Shattered
Shit and Champagne
Shoot the Moon
Silicon Valley Season 4
Sister Act
Sister Act 2: Back in the Habi
"Smile Again, Jenny Lee"
Sneakers
So I Married an Axe Murderer
Sonic the Hedgehog
Sphere
Star Trek II : The Wrath of Kh
Star Trek IV: The Voyage Home
Star Trek VI: The Undiscovered
Steve Jobs
Stigmata
Street Music
Sudden Fear
Sudden Impact
Summertime
Superman
Susan Slade
Sweet November
Swing
Swingin' Along
Take the Money and Run
Tales of the City
Terminator - Genisys
The Assassination of Richard N
The Bachelor
The Birds
The Bridge
The Caine Mutiny
The Californians
The Candidate
The Competition
The Conversation
The Core
The Dead Pool
The Diary of a Teenage Girl
The Doctor
The Doors
The Enforcer
The Fan
The Fog of War
The Game
The Graduate
The House on Telegraph Hill
The Internship
The Jazz Singer
The Lady from Shanghai
The Last Black Man in San Fran
The Last of the Gladiators
The Laughing Policeman
The Lineup
The Love Bug
The Maltese Falcon
The Master
The Matrix
The Matrix Resurrections
The Net
The Nightmare Before Christmas
The OA Part II
The Organization
The Other Sister
The Parent Trap
The Phone/Jexi
The Presidio
The Princess Diaries
The Pursuit of Happyness
The Right Stuff
The Rock
The Sweetest Thing
The Ten Commandments
The Times of Harvey Milk
The Towering Inferno
The Wedding Planner
The Woman In Red
The Zodiac
They Call Me MISTER Tibbs
Thief of Hearts
Time After Time
Tin Cup
To the Ends of the Earth
True Believer
Tucker: The Man and His Dream
Tweek City
Twisted
Under the Tuscan Sun
Until the End of the World
Vegas in Space
Venom
Venom: Let There Be Carnage
Vertigo
What Dreams May Come
What the Bleep Do We Know
What's Up Doc?
When We Rise
When a Man Loves a Woman
Woman on Top
Woman on the Run
Women is Losers
"Yours, Mine and Ours"
Zodiac
